StockistID,StockistName,StockistRetailerGroupID,StockistSiteId,StockistWebsiteUrl,StockistPhone,StockistFax,StockistEmail,StockistAddressLine1,StockistSuburb,StockistPostcode,StockistStateId,StockistCountryId,StockistLatitude,StockistLongitude,StockistGUID,StockistLastModified,StockistLoyalty,ShowInSelector,ShowLeadGeneration
791,Bathurst Homemakers / Sleepzone ,18,5,www.sleepzonebedding.com.au,02 6331 3838,,shaneandjodie@bigpond.com,"Unit 3, Bathurst Supa Centre, Sydney Rd",Kelso,2795,121,284,-33.4192314,149.6114197,18525fe5-f042-43c1-be40-b88865973d45,4/13/2017 1:26:48 PM,True,True,False
997,Bay Betta Electrical - Hamilton,22,5,,07 834 8135,,ecl.ham@xtra.co.nz,83 Tristram St,Hamilton,3204,131,423,-37.7928530,175.2813210,6687284a-c7cc-4c28-8e15-56034b7ac021,5/20/2015 3:21:01 AM,True,True,False
998,Bay Betta Electrical - Katikati,22,5,,07 549 1724,,ecl.katikati@xtra.co.nz,58 Main Rd,Katikati,3129,133,423,-37.5550780,175.9170150,ffde4901-1df8-4c83-a9b8-05bdb7a0895f,5/20/2015 3:21:01 AM,True,True,False
1441,BCC Betta Electrical,13,5,www.betta.com.au,03 5222 4890,,geelong@my.betta.com.au,8-10 Pakington Street,Geelong West,3218,125,284,-38.1329597,144.3500046,aca027dc-cf10-4205-a2cc-966ce97ea292,3/22/2017 12:31:33 PM,True,True,False
1423,Beaudesert Furniture Court/ Beds R Us Beaudesert,7,5,www.furniturecourt.com.au,07 5655 6440,07 5655 6441,sales@beaudesertfurniturecourt.com.au,72 Brisbane St,Beaudesert,4285,122,284,-27.9880351,152.9951071,96301230-e75d-45ea-bff8-94c2005b8c90,11/30/2016 8:05:29 PM,True,True,False
685,Bed Centre,13,5,""" """,08 9592 1203,,,4 Acute Court,Rockingham,6168,126,284,-32.2858009,115.7395325,d68ecc7b-c179-41cf-a272-4539a18a93b9,12/15/2014 10:40:08 PM,True,True,False
974,Bed for Backs South Melbourne,18,5,www.beds4backs.com.au,03 9696 1311,,southmelbourne@beds4backs.com.au,400 Clarendon Street,South Melbourne,3205,125,284,-37.8366980,144.9618380,84399b89-fe08-4634-b12d-5c3390b2dbe9,5/12/2015 11:15:11 PM,True,True,False
827,Bed Quarters Joondalup,13,5,http://www.bedquarters.com.au/,08 9300 1917,,info@bedquarters.com.au,"Shop 37, 51 Joondalup Drive, (The Gate)",Joondalup,6027  ,126,284,-31.7692505,115.7791299,f892a2c0-acac-4403-a420-635c874fa054,5/3/2016 8:47:26 PM,True,False,False
1373,Bed World,13,5,www.bedworldonline.com.au,(08) 9242 4333,,,87C Frobisher Street,Osborne Park,6017,126,284,-31.9064330,115.8247180,a8d60b57-bab2-4834-a83c-c84b8014bd6a,5/3/2016 9:04:59 PM,True,True,False
1323,Bedding Furniture Outlet ,13,5,""" """,""" """,,,Cnr Tryon St & Mt Gravatt – Capalaba Rd,Mt Gravatt,4122,122,284,-27.5587684,153.0818087,3580c86b-1447-4b03-b05b-aadaa12c7f2b,12/22/2015 11:14:44 PM,False,True,False
687,Bedding Furniture Outlet ,13,5,""" """,5498 5566,,,312 Morayfield Road,Morayfield,4506,122,284,-27.1177187,152.9518279,9c8fe92d-ed79-4abc-9b5e-b2dec2e06756,12/22/2015 11:14:50 PM,True,True,False
686,Bedding Furniture Outlet Aspley,13,5,""" """,3263 7992,,,815 Zillmere Road,Aspley,4034,122,284,-27.3548126,153.0181427,72f09d47-ba74-45b1-a2c6-945f880c2c7d,11/12/2014 2:35:42 AM,True,True,False
688,Bedding Furniture Outlet Oxley,13,5,""" """,3379 3172,,,2118 Ipswich Road,Oxley,4075,122,284,-27.5668373,152.9825897,87b4fa5c-63a3-4ae8-88ce-bb1edc4e1ea9,11/12/2014 2:35:42 AM,True,True,False
689,Bedding Furniture Outlet Windsor,13,5,""" """,3357 7786,,,190 Lutwyche Road,Windsor,4030,122,284,-27.4384823,153.0311890,bc740857-e161-4251-8cf0-efeec6e40453,11/12/2014 2:35:42 AM,True,True,False
999,Bedpost - Albany,25,5,www.bedpost.co.nz,09 442 2939,,bedpost_albany@xtra.co.nz ,260 Oteha Valley Road,Albany,0632,130,423,-36.7221950,174.7061670,455c4a8e-d1cf-4e91-ab47-f1076c7d9705,7/13/2016 9:30:07 PM,True,True,False
1000,Bedpost - Botany,25,5,www.bedpost.co.nz,09 273 8088,,bedpostbotany@clear.net.nz ,451 Ti Rakau Drive,Botany Downs,2013,130,423,-36.9307645,174.9084317,d058fc2f-2ab2-4382-9039-c42ad6b794a3,7/13/2016 9:43:50 PM,True,True,False
1001,Bedpost - Christchurch,25,5,www.bedpost.co.nz,03 366 1330,,bedpostchristchurch@gmail.com,86 Moorhouse Ave,Christchurch,8041,145,423,-43.5408010,172.6235660,55d0937f-1729-4a65-a359-f5b63e4b444c,7/13/2016 9:57:23 PM,True,True,False
1002,Bedpost - Dunedin,25,5,www.bedpost.co.nz,03 477 1766,,alan@bed.co.nz,140B Cumberland Street,Dunedin,9016,149,423,-45.8790890,170.5050540,730f1a07-eac2-465e-9421-790479a72000,5/20/2015 3:21:01 AM,True,True,False
1393,Bedpost - Hamilton,25,5,www.bedpost.co.nz,07 850 5272,,,9 Maui St,Te Rapa,3200,131,423,-37.7415892,175.2284867,d5ce5559-65aa-481f-913a-e071da0f55ae,7/13/2016 9:49:48 PM,True,True,False
1003,Bedpost - Hastings,25,5,www.bedpost.co.nz,06 870 9421,,bedposthastings@callplus.net.nz,630 Heretaunga Street West,Hastings,4122,137,423,-39.6359180,176.8364610,0553201b-e41e-4b2b-95b1-a74603d4f80f,7/13/2016 9:58:44 PM,True,True,False
1004,Bedpost - Mt Wellington,25,5,www.bedpost.co.nz,09 570 7052,,bedland@ihug.co.nz ,39 Mt Wellington Highway,Mt Wellington,1060,130,423,-36.8995360,174.8431820,b295cfca-7687-456a-9cce-91f9f5ff649d,7/13/2016 9:31:27 PM,True,True,False
1005,Bedpost - Newmarket,25,5,www.bedpost.co.nz,09 524 5171,,sales@bedpostnewmarket.co.nz ,2 Gillies Ave,Newmarket,1023,130,423,-36.8692543,174.7753605,4d96b38b-e7c0-498e-a3b2-106fe89fb34c,7/13/2016 9:51:06 PM,True,True,False
1006,Bedpost - St Lukes,25,5,www.bedpost.co.nz,09 846 8632,,bedpoststlukes@gmail.com ,1 Wagener Place,St Lukes,1025,130,423,-36.8845198,174.7317716,1d1e80b0-cf49-4255-9d73-c9bebbf0a1cd,7/13/2016 10:02:17 PM,True,True,False
1007,Bedpost - Takanini,25,5,www.bedpost.co.nz,09 299 3271,,bedposttakanini@gmail.com ,230 Great South Road,Takanini,2112,130,423,-36.9419361,174.8418301,e306e85d-d69f-4bd2-8412-057c76696938,7/13/2016 9:32:41 PM,True,True,False
1008,Bedpost - Tauranga,25,5,www.bedpost.co.nz,07 578 3045,,info@bedposttauranga.co.nz,2 Owens Place,Bayfair,3116,133,423,-37.6777930,176.2207660,b4646707-404b-4fd9-b419-a4efe07a4181,5/20/2015 3:21:01 AM,True,True,False
1394,Bedpost - Tauranga,25,5,www.bedpost.co.nz,07 578 3045,,,2 Owens Place,Mt Maunganui,3116,133,423,-37.6777100,176.2207500,95bdbd57-a949-4a65-b802-884bd5748d8f,7/13/2016 9:54:15 PM,True,True,False
1009,Bedpost - Te Rapa,25,5,www.bedpost.co.nz,07 850 5272,,bedposthamilton@clear.net.nz,9 Maui Street,Te Rapa,3200,131,423,-37.7415890,175.2277490,b2f6b822-c92f-476e-8843-9444d865619f,5/20/2015 3:21:01 AM,True,True,False
1010,Bedpost - Wairau Park,25,5,www.bedpost.co.nz,09 444 2584,,bedpost_wp@xtra.co.nz ,14 Link Drive,Wairau Valley,0627,130,423,-36.7665350,174.7378330,0f8c80b6-dc9c-4ca2-bc46-66d627330de0,7/13/2016 10:11:00 PM,True,True,False
1011,Bedpost - Wellington,25,5,www.bedpost.co.nz,04 473 5303,,bedpostwellington@xtra.co.nz,240 Thorndon Quay,Wellington,6011,142,423,-41.2704380,174.7816430,448197c6-721b-438d-8a6d-a77afcd849b8,7/13/2016 9:33:17 PM,True,True,False
1395,Bedpost - Westgate,25,5,www.bedpost.co.nz,09 416 0158,,,57-61 Maki St ,Westgate,0814,130,423,-36.8135017,174.6066021,b2904ce4-3af9-4a6e-9f00-b3c1bf53e3a3,7/13/2016 10:16:55 PM,True,True,False
1012,Bedpost - Whitianga,25,5,www.bedpost.co.nz,07 8662448,,bedpost@100whitianga.co.nz,1A Lee Street,Whitianga ,3510,133,423,-36.8341918,175.7037518,2930fb2a-c110-4dda-aa76-d1f656b6177a,7/13/2016 9:56:27 PM,True,True,False
658,Bedpost Beds R Us,7,5,www.bedsrus.com.au,08 8984 3292,08 8984 3196,,524 Stuart High Way,Winnellie,821,128,284,-12.4261446,130.8905792,547138ce-01b1-4ab7-af52-a5611a79c5a8,5/7/2015 10:17:33 PM,True,True,False
973,Beds For Backs Dandenong,18,5,www.beds4backs.com.au,03 9791 5588,,dandenong@beds4backs.com.au,97-99 Frankston Dandenong Rd,Dandenong,3175,125,284,-38.0087910,145.2173740,613fdb12-b55c-411b-aef2-382b90116b7a,5/12/2015 11:11:12 PM,True,True,False
1013,Beds on Legs Rangiora,22,5,,03 313 0305,,bedsonlegs@hotmail.com,13D High Street,Rangiora,7400,145,423,-43.3036470,172.5986720,52502fe9-8c35-477d-acba-3d54484a8942,5/20/2015 3:21:01 AM,True,True,False
1431,Beds Online - Wetherill Park Superstore ,13,5,www.bedsonline.com.au,(02) 9119 4951,,,1183-1187 The Horsley Drive,"Wetherill Park, Sydney",2164,121,284,-33.8502383,150.8977188,2d304e5a-84f6-4c89-ad45-b3c4ed33a4c9,3/22/2017 11:32:56 AM,True,True,False
1400,Beds Online Manly Vale,13,5,https://www.bedsonline.com.au/,(02) 9907 0099,,,267 - 269 Condamine St,Manly Vale,2093,121,284,-33.7867085,151.2662315,a275bbde-d8e3-4324-b0d4-da5c629ce7a0,8/8/2016 5:11:44 AM,True,True,False
1398,Beds Online Noble Park,13,5,www.bedsonline.com.au,(03) 9020 8685,,,2/450 Princes Hwy,Noble Park North,3174,125,284,-37.9566981,145.1862267,dabbd1b1-6378-4c72-9713-c8d943d443ec,3/22/2017 11:33:51 AM,True,True,False
1401,Beds Online Rose Bay,13,5,https://www.bedsonline.com.au/,(02) 9371 6544,,,503 Old South Head Road,Rose Bay,2029,121,284,-33.8748490,151.2730520,252732b4-8399-427c-bb59-3e876cc737ae,8/8/2016 5:09:09 AM,True,True,False
1399,Beds Online Silverwater,13,5,https://www.bedsonline.com.au/,(02) 9426 3904,,,162 Silverwater Road,Silverwater,2128,121,284,-33.8310345,151.0488642,7f8d2dec-d989-4e4d-bdc0-156a84c6bd4e,8/8/2016 5:00:30 AM,True,True,False
665,Beds R Us - Atmosphere Furniture & Electrical Emerald,7,5,www.bedsrus.com.au,07 4982 1700,07 4982 3315,,3 Scant Street,Emerald,4720,122,284,-23.5189667,148.1565857,4140d619-7bcf-45d5-bb5e-2ae5860b522a,5/7/2015 10:17:56 PM,True,True,False
1522,Beds R Us - Elmers Furniture,7,5,http://elmersfurniture.com.au/, (07) 4124 6776,,,88 Beach Road,Hervey Bay,4655,122,284,-25.2847252,152.8321965,6ff6d52d-3288-4aa5-9904-d8f1ce9b4db8,5/1/2017 4:37:21 PM,True,True,False
636,Beds R Us - MacLeods furniture court,7,5,www.bedsrus.com.au,02 6652 9901,02 6652 9921,,Shop 15 Park Beach Homebase  Pacific Highway,Coffs Harbour,2450,121,284,-30.2963848,153.1137543,7329d3da-b3bd-4347-aa15-0994ca81e5a3,5/1/2017 4:46:17 PM,True,True,False
1356,Beds R Us Atherton - Duffy's Furniture Court ,7,5,www.duffysfurniture.com.au,07 4091 1854,07 4091 3635,patrice@duffysfurniture.com.au,5 Robert Street ,Atherton  ,4883,122,284,-17.2681278,145.4675305,494bc0fc-1ca2-4f29-9bed-63cacaa4d275,4/11/2016 2:47:46 AM,True,True,False
844,Beds R Us Auburn ,7,5,www.bedsrus.com.au,(02) 8086 1118 ,, bedsrus.auburn@yahoo.com.au,255 Parramatta Road,Auburn,2144,121,284,-33.8391680,151.0299547,7d24448f-7c48-411a-94e5-ebba801623c9,12/18/2014 4:12:43 AM,True,True,False
626,Beds R Us Bendigo - Furniture Biz Pty Ltd,7,5,www.bedsrus.com.au,03 5442 9443,,bendigo@bedsrus.com.au,112-114 Holmes Road,Bendigo,3550,125,284,-36.7346306,144.2658997,0b57af8a-59ee-445a-afbc-2ada00d69421,5/14/2015 4:25:02 AM,True,True,False
842,Beds R Us Bennetts Green ,7,5,www.bedsrus.com.au,(02) 4948 0337 ,,sales@bedsrusbennettsgreen.com.au,7 – 15 Groves Road ,Bennetts Green,2290,121,284,-32.9956207,151.6894476,958c3b48-4d70-4bbd-b6be-dc845d2f28a2,8/19/2015 10:18:43 AM,True,True,False
593,Beds R Us Browns Plains,7,5,www.bedsrus.com.au,07 3806 7220,,brownsplains@bedsrus.com.au,"Village Square, 18 Commerce Drive",Browns Plains,4118,122,284,-27.6636162,153.0451813,f05dfda2-853c-4ebc-9286-5230dddfb306,5/7/2015 10:19:02 PM,True,True,False
1392,Beds R Us Bundall,7,5,www.bedsrus.com.au,07 5527 6732,,bundall@bedsrus.com.au,2a/71 Upton St,Bundall,4217,122,284,-28.0044097,153.4117046,b33e9c72-9444-4825-b6a0-c866e685b2f1,7/10/2016 8:54:04 PM,True,True,False
843,Beds R Us Byron Bay ,7,5,www.bedsrus.com.au,(02) 6685 5212 ,,byronbay@bedsrus.com.au,16 Brigantine Street ,Byron Bay,2481,121,284,-28.6354840,153.5810090,b8a6bd56-ed92-4ef6-8df2-ded699fd2329,12/18/2014 4:10:07 AM,True,True,False
595,Beds 'R' Us Cairns - VIP Furniture & Bedding,7,5,www.vipfurniture.com.au,4038 5000,,,2-4 Danbulan Street,Smithfield,4878,122,284,-16.8393841,145.6950226,288e1c10-68e0-4a9d-81d4-5b7da768a3f7,11/12/2014 2:26:12 AM,True,True,False
1366,Beds R Us Campbelltown,7,5,www.bedsrus.com.au,02 4628 9972,,campbelltown@bedsrus.com.au,21 Blaxland Road ,Campbelltown ,2560,121,284,-34.0558525,150.8176233,7fb95bc0-d8b6-4865-85df-3770d79fb612,4/11/2016 3:42:16 AM,True,True,False
594,Beds 'R' Us Capalaba,7,5,www.bedsrus.com.au,07 3390 1175,07 3390 1176,,104 Redland Bay Road,Capalaba,4157,122,284,-27.5282803,153.1963348,df722c01-727e-4020-a0c1-333f241f34e8,11/12/2014 2:26:12 AM,True,True,False
596,Beds 'R' Us Charters Towers,7,5,www.bedsrus.com.au,07 4787 8363,07 4787 8972,,131 Mosman Street,Charters Towers,4820,122,284,-20.0778828,146.2566376,9014f84d-4f9e-41ae-ad04-956969bf0c7b,11/12/2014 2:26:12 AM,True,True,False
1512,Beds R Us Cowra,7,5,bedsrus.com.au,02 6342 6668,,,12 Redfern Street ,Cowra,2794,121,284,-33.8289251,148.6828839,91ce462f-9391-4a9e-8339-138bdcb0cc09,4/27/2017 1:13:34 PM,True,True,False
637,Beds 'R' Us Dapto,7,5,www.bedsrus.com.au,02 4262 2466,02 4262 8062,,14 Marshall Street,Dapto,2530,121,284,-34.4957695,150.7916412,ff74c3a0-8deb-4742-a9ce-e59a4eb96b71,11/12/2014 2:26:12 AM,True,True,False
597,Beds 'R' Us Deception Bay,7,5,www.bedsrus.com.au,07 3204 1984,07 3204 1348,,675 Deception Bay Road,Deception Bay,4503,122,284,-27.2060223,153.0395050,25acd3ad-9de0-4772-9dfa-f2fe7b75d7f2,11/12/2014 2:26:12 AM,True,True,False
1311,Beds R Us Fyshwick,7,5,www.bedsrus.com.au,02 6239 2001,,fyshwick@bedsrus.com.au,130 – 132 Gladstone Road,Fyshwick,2609,120,284,-35.3245649,149.1802276,fa65e14a-61a4-4f6f-939b-53f148e695df,10/9/2015 2:46:54 AM,False,True,False
632,Beds R Us Geelong - Thriftway Furniture Geelong,7,5,www.bedsrus.com.au,03 5248 8333,,geelong@bedsrus.com.au,181 - 185 Bellarine Highway,Newcomb,3219,125,284,-38.1738968,144.4043884,afd2c71d-9a23-4adc-bf1b-a9aa06e50c28,5/14/2015 4:27:55 AM,True,True,False
1357,Beds R Us Goondiwindi - Rustic Duck Furniture Court,7,5,http://goondiwindi.furniturecourt.com.au/,07 4671 3225,,hello@rustickduck.com.au,37 Marshall Street ,Goondiwindi ,4390,122,284,-28.5458487,150.3016365,8494a9df-cb7d-46f3-9abb-a808dbe11ba6,4/11/2016 2:52:08 AM,True,True,False
598,Beds 'R' Us Gympie,7,5,www.bedsrus.com.au,07 5482 8688,07 5482 1771,,23 Red Hill Road,Gympie,4570,122,284,-26.1944714,152.6730042,8987978e-34bc-4029-bbd7-40a5ddf744b0,11/12/2014 2:26:12 AM,True,True,False
599,Beds R Us Helensvale,7,5,www.bedsrus.com.au,07 5502 7227,07 5502 7229,,"Showroom 7, Helensvale Homeworld  502 Hope Island Road,",Helensvale,4212,122,284,-27.8870869,153.3180542,d5101f6c-e122-488f-8f7b-0e4f9abfc5c9,11/12/2014 2:26:12 AM,True,True,False
281,Beds R Us Hoppers Crossing,7,5,www.bedsrus.com.au,03 9931 0477,03 9931 0477,,"Unit 6, 428 Old Geelong Road",Hoppers Crossing,3029,125,284,-37.8689880,144.7334442,f3663527-c82b-4b87-89c1-9465d36e2714,2/28/2017 11:58:35 AM,True,True,False
1368,Beds R Us Horsham - BJ's Furniture and Bedding Pty Ltd,7,5,www.bedsrus.com.au,03 5382 6661,,jess@bjsfurniture.com.au,85a Wilson Street ,Horsham ,3400,125,284,-36.7170227,142.1956843,658f3fee-599f-4cd3-b151-7ebe0bb5f19a,4/11/2016 3:48:49 AM,True,True,False
1358,Beds R Us Ingham - Felix Reitano Furniture,7,5,www.bedsrus.com.au/,07 4776 5007,,mjrassistant@reitano.com.au,109 Cartwright Street ,Ingham ,4850,122,284,-18.6471799,146.1601023,1b5cd536-d561-40ab-a8f0-aa6e712a1243,4/11/2016 3:03:49 AM,True,True,False
1359,Beds R Us Innisfail - Mellicks Furniture Court,7,5,http://innisfail.furniturecourt.com.au/,07 4061 2477,,sales@mellickcentre.com.au,42 Edith Street ,Innisfail ,4860,122,284,-17.5248679,146.0279023,58739969-9396-4ecf-8b70-569bff7e9a59,4/11/2016 3:07:31 AM,True,True,False
638,Beds 'R' Us Lake Haven,7,5,www.bedsrus.com.au,02 4392 4044,02 4392 0534,,Shp T07 Megacentre cnr Pacific Highway & Lakehaven Drive,Lake Haven,2263,121,284,-33.2433701,151.5050049,52c6e8c1-0df5-47c5-908b-986ffb90f446,11/12/2014 2:26:12 AM,True,True,False
838,Beds R Us Lawnton,7,5,www.bedsrus.com.au,(07) 3889 8999 ,,bedsrus.lawnton@outlook.com,666 Gympie Road ,Lawnton ,4501,122,284,-27.2922850,152.9847580,6677fc2d-220e-49f5-80f1-98cbe8325447,12/18/2014 4:02:05 AM,True,True,False
1362,Beds R Us Longreach - Coola Carpet and Furniture Court,7,5,http://longreach.furniturecourt.com.au/,07 4658 3135,,coolacarpets@tpg.com.au,132 Eagle Street ,Longreach ,4730,122,284,-23.4439391,144.2457703,b6e29afe-1868-42e0-bd39-37e5bc619f25,4/11/2016 3:15:29 AM,True,True,False
1363,Beds R Us Macgregor,7,5,www.bedsrus.com.au,07 3849 4803,,macgregor@bedsrus.com.au,"Unit 2, 520 Kessels Road, ",MacGregor ,4109,122,284,-27.5500173,153.0736038,ec070c21-41f4-40e4-a852-a56e899d413f,4/11/2016 3:21:04 AM,True,True,False
837,Beds R Us Mitchelton,7,5,http://www.bedsrus.com.au/,(07) 3855 9466 ,,bedsrus.mitchelton@outlook.com,195 Osborne Road ,Mitchelton ,4053,122,284,-27.4058500,152.9794900,587348eb-28a0-4e9e-b1d6-d23a429c062f,12/18/2014 4:00:12 AM,True,True,False
1490,Beds R Us Mittagong,7,5,www.bedsrus.com.au,02 4872 4111,,,Lot 11 Cavendish St,Mittagong,2575,121,284,-34.4496800,150.4339820,5b1ed40b-3d7c-493c-91b0-83c8e85f2e8e,4/6/2017 10:28:34 AM,True,True,False
1317,Beds R Us Moe - Furniture World,7,5,www.furnitureworldmoe.com,03 5126 2963,,furniture.world@live.com.au,22 Moore ST ,Moe,3825,125,284,-38.1757565,146.2588173,a4ac8dfa-dcdc-4505-9221-8e3d86e5ae65,4/13/2017 10:12:32 AM,True,True,False
639,Beds 'R' Us Newcastle,7,5,www.bedsrus.com.au,02 4961 6992,02 4961 6994,,950 Hunter Street,Newcastle West,2302,121,284,-32.9235001,151.7554321,7ddf29f6-8b1b-4c61-a440-01c35cb5b370,11/12/2014 2:26:12 AM,True,True,False
1521,Beds R Us North Lakes,7,5,bedsrus.com.au,07 3491 6300,,,"Shop 10, 82 North Lakes Drive",North Lakes,4509,122,284,-27.2380267,153.0121125,be7b3f4a-6e2f-4f9d-88a0-4c201a9f6b4d,4/27/2017 4:16:51 PM,True,True,False
640,Beds R Us Nowra,7,5,www.bedsrus.com.au,02 4423 3449,02 4423 3449,,164 Princes Highway,Nowra South,2541,121,284,-34.9116631,150.6040039,f61f4d86-c976-4aba-9289-eafe2e1b1e7d,11/12/2014 2:26:12 AM,True,True,False
642,Beds 'R' Us Salamander Bay,7,5,www.bedsrus.com.au,02 4984 2222,02 4984 2111,,Rigby Centre 270 Sandy Point Road,Salamander Bay,2317,121,284,-32.7338486,152.1093597,54e5c3d9-1580-457c-9ea1-c53b2f01cee8,11/12/2014 2:26:12 AM,True,True,False
1369,Beds R Us Sunshine - MYM Furniture,7,5,http://mymfurniture.com.au/,03 9312 3199,,mymfurniture@bigpond.com,474 Ballarat Road ,Sunshine ,3020,125,284,-37.7770578,144.8293793,66562a7f-b8f1-4b4c-92d1-7518d607b0ab,4/11/2016 3:51:42 AM,True,True,False
643,Beds 'R' Us Taren Point,7,5,www.bedsrus.com.au,02 9540 2010,02 9526 1096,,Unit 4 / 141 Taren Point Road,Taren Point,2229,121,284,-34.0246468,151.1202850,6a469363-60a5-4d86-9fcc-807f3c815490,11/12/2014 2:26:12 AM,True,True,False
1364,Beds R Us Townsville - John Bradley Lazyboy Gallery,7,5,www.bedsrus.com.au,07 4721 3800,,kathryn@jblazboy.com.au,Unit 9 / 1 Woodman Court Westend ,Townsville ,4810,122,284,-19.2700709,146.7898853,1248365e-0344-4eb7-94cb-c61e48cff249,4/11/2016 3:25:09 AM,True,True,False
1365,Beds R Us Virginia,7,5,www.bedsrus.com.au,07 3216 2406F,,bedsrus.virginia@gmail.com,1814 Sandgate Road ,Virginia ,4014,122,284,-27.3748252,153.0597274,c23a2cae-3eca-44b3-9286-b2787e36c14c,4/11/2016 3:32:26 AM,True,True,False
628,Beds R Us Wangaratta - Lidgerwood's Furniture & Electrical,7,5,www.bedsrus.com.au,03 5721 6565,03 5721 6578,,40-46 Norton Street,Wangaratta,3677,125,284,-36.3556786,146.3175354,6302c700-183c-474a-8533-aceb6d694923,5/14/2015 9:02:01 PM,True,True,False
